
 ⛅️ wrangler 4.100.0
────────────────────
Successfully created tail, expires at 2026-06-12T13:50:11Z
Connected to videx-api, waiting for logs...
  (log) [Pipeline] multi-interest RPCs returned: 540 → after hard filters: 435
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/11324/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/1082195/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/680/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/1430/watch/providers - Canceled @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/550/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/8681/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/1054867/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/374720/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/329865/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/373314/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/64439/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/146233/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/452068/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/668489/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/97062/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/180/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/335984/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/353081/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/577922/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/49530/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/63/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/2501/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/64690/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/90680/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/114635/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/979660/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/157336/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/530382/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/340666/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/49026/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/54138/watch/providers - Ok @ 12/06/2026, 11:13:57
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/23168/watch/providers - Ok @ 12/06/2026, 11:14:20
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/37834/watch/providers - Ok @ 12/06/2026, 11:14:20
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/500/watch/providers - Ok @ 12/06/2026, 11:14:20
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/697843/watch/providers - Ok @ 12/06/2026, 11:14:20
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/220056/watch/providers - Ok @ 12/06/2026, 11:14:24
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/29917/watch/providers - Ok @ 12/06/2026, 11:14:24
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/877817/watch/providers - Ok @ 12/06/2026, 11:14:24
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/1354652/watch/providers - Ok @ 12/06/2026, 11:14:27
